Country,Year,Production Mineral,Production Qty,Import Mineral Name,Import Qty,Access to electricity (% of pop),Central Govt Debt (% of GDP),Electricity from fossil (% of total),Electricity from nuclear (% of total),Electricity from renewables excl. hydro (% of total),FDI (% of GDP),FDI (US$),GDP (constant PPP),GDP (current US$),GDP growth (%),Population (Total),WGI Average,,,,
Australia,2019,Titanium (TiO2),780465,Titanium (TiO2),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Tungsten (W),30,Tungsten (W),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Zircon,468900,Zircon,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2020,Antimony,3903,Antimony,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Cadmium,378,Cadmium,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Cobalt,5631,Cobalt,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Copper,868019,Copper,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Lithium (Li2O),89300,Lithium (Li2O),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Molybdenum,0,Molybdenum,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Nickel,169344,Nickel,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Palladium,420,Palladium,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Phosphate Rock (P2O5),215700,Phosphate Rock (P2O5),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Platinum,100,Platinum,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Potash (K2O),0,Potash (K2O),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Rare Earths (REO),19440,Rare Earths (REO),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Tantalum (Ta2O5),50,Tantalum (Ta2O5),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Tin,8118,Tin,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Titanium (TiO2),830800,Titanium (TiO2),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Tungsten (W),100,Tungsten (W),0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2020,Zircon,380000,Zircon,0,100,69.32157486,77.39970887,0,16.88752461,1.353256055,0,1.46E+12,1.33E+12,-0.119590736,25649248,1.466071864,,,,
Australia,2021,Antimony,3380,Antimony,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Cadmium,402,Cadmium,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Cobalt,5232,Cobalt,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Copper,801052,Copper,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Lithium (Li2O),113600,Lithium (Li2O),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Molybdenum,0,Molybdenum,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Nickel,150876,Nickel,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Palladium,380,Palladium,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Phosphate Rock (P2O5),170,Phosphate Rock (P2O5),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Platinum,90,Platinum,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Potash (K2O),0,Potash (K2O),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Rare Earths (REO),21970,Rare Earths (REO),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Tantalum (Ta2O5),70,Tantalum (Ta2O5),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Tin,8772,Tin,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Titanium (TiO2),624100,Titanium (TiO2),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Tungsten (W),160,Tungsten (W),0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2021,Zircon,569000,Zircon,0,100,70.01091177,73.33875596,0,20.93736114,2.024681946,0,1.49E+12,1.56E+12,2.111168148,25685412,1.473676374,,,,
Australia,2022,Antimony,2292,Antimony,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Cadmium,328,Cadmium,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Cobalt,5794,Cobalt,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Copper,826271,Copper,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Lithium (Li2O),150300,Lithium (Li2O),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Molybdenum,277,Molybdenum,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Nickel,155007,Nickel,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Palladium,390,Palladium,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Phosphate Rock (P2O5),361180,Phosphate Rock (P2O5),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Platinum,100,Platinum,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Potash (K2O),2418,Potash (K2O),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Rare Earths (REO),17660,Rare Earths (REO),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Tantalum (Ta2O5),60,Tantalum (Ta2O5),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Tin,9001,Tin,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Titanium (TiO2),545000,Titanium (TiO2),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Tungsten (W),180,Tungsten (W),0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2022,Zircon,470000,Zircon,0,100,58.04669641,69.06577886,0,0,4.161495042,0,1.56E+12,1.69E+12,4.242385553,26014399,1.500689099,,,,
Australia,2023,Antimony,1860,Antimony,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Cadmium,900,Cadmium,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Cobalt,5217,Cobalt,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Copper,778303,Copper,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Lithium (Li2O),204200,Lithium (Li2O),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Molybdenum,1110,Molybdenum,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Nickel,149090,Nickel,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Palladium,410,Palladium,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Phosphate Rock (P2O5),520390,Phosphate Rock (P2O5),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Platinum,100,Platinum,0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Potash (K2O),5503,Potash (K2O),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
Australia,2023,Rare Earths (REO),20280,Rare Earths (REO),0,100,0,66.07583961,0,0,1.879591719,0,1.61E+12,1.73E+12,3.4419922,26652777,1.543355534,,,,
